Woonplaatscode,Woonplaats,Gemeentecode,Gemeente,COROP-gebiedcode,COROP-gebied
1147,Amen,1680,Aa en Hunze,07,Noord-Drenthe
1148,Anderen,1680,Aa en Hunze,07,Noord-Drenthe
1149,Anloo,1680,Aa en Hunze,07,Noord-Drenthe
1150,Annen,1680,Aa en Hunze,07,Noord-Drenthe
1151,Annerveenschekanaal,1680,Aa en Hunze,07,Noord-Drenthe
1152,Balloo,1680,Aa en Hunze,07,Noord-Drenthe
1153,Balloërveld,1680,Aa en Hunze,07,Noord-Drenthe
1154,Deurze,1680,Aa en Hunze,07,Noord-Drenthe
1155,Eext,1680,Aa en Hunze,07,Noord-Drenthe
1156,Eexterveen,1680,Aa en Hunze,07,Noord-Drenthe
1157,Eexterveenschekanaal,1680,Aa en Hunze,07,Noord-Drenthe
1158,Eexterzandvoort,1680,Aa en Hunze,07,Noord-Drenthe
1159,Ekehaar,1680,Aa en Hunze,07,Noord-Drenthe
1160,Eldersloo,1680,Aa en Hunze,07,Noord-Drenthe
1161,Eleveld,1680,Aa en Hunze,07,Noord-Drenthe
1162,Gasselte,1680,Aa en Hunze,07,Noord-Drenthe
1163,Gasselternijveen,1680,Aa en Hunze,07,Noord-Drenthe
1164,Gasselternijveenschemond,1680,Aa en Hunze,07,Noord-Drenthe
1165,Gasteren,1680,Aa en Hunze,07,Noord-Drenthe
1166,Geelbroek,1680,Aa en Hunze,07,Noord-Drenthe
1167,Gieten,1680,Aa en Hunze,07,Noord-Drenthe
1168,Gieterveen,1680,Aa en Hunze,07,Noord-Drenthe
1169,Grolloo,1680,Aa en Hunze,07,Noord-Drenthe
1170,Marwijksoord,1680,Aa en Hunze,07,Noord-Drenthe
1171,Nieuw Annerveen,1680,Aa en Hunze,07,Noord-Drenthe
1172,Nieuwediep,1680,Aa en Hunze,07,Noord-Drenthe
1173,Nijlande,1680,Aa en Hunze,07,Noord-Drenthe
1174,Nooitgedacht,1680,Aa en Hunze,07,Noord-Drenthe
1175,Oud Annerveen,1680,Aa en Hunze,07,Noord-Drenthe
1176,Papenvoort,1680,Aa en Hunze,07,Noord-Drenthe
1177,Rolde,1680,Aa en Hunze,07,Noord-Drenthe
1178,Schipborg,1680,Aa en Hunze,07,Noord-Drenthe
1179,Schoonloo,1680,Aa en Hunze,07,Noord-Drenthe
1180,Spijkerboor,1680,Aa en Hunze,07,Noord-Drenthe
1181,Vredenheim,1680,Aa en Hunze,07,Noord-Drenthe
1182,Zwolle,0193,Zwolle,10,Noord-Overijssel
1183,Avenhorn,1598,Koggenland,18,Kop van Noord-Holland
1184,Berkhout,1598,Koggenland,18,Kop van Noord-Holland
1185,De Goorn,1598,Koggenland,18,Kop van Noord-Holland
1186,Hensbroek,1598,Koggenland,18,Kop van Noord-Holland
1187,Obdam,1598,Koggenland,18,Kop van Noord-Holland
1188,Oudendijk,1598,Koggenland,18,Kop van Noord-Holland
1189,Scharwoude,1598,Koggenland,18,Kop van Noord-Holland
1190,Spierdijk,1598,Koggenland,18,Kop van Noord-Holland
1191,Ursem,1598,Koggenland,18,Kop van Noord-Holland
1192,Zuidermeer,1598,Koggenland,18,Kop van Noord-Holland
1193,Aalten,0197,Aalten,14,Achterhoek
1194,Bredevoort,0197,Aalten,14,Achterhoek
1195,De Heurne,0197,Aalten,14,Achterhoek
1196,Dinxperlo,0197,Aalten,14,Achterhoek
1198,Lekkum,0080,Leeuwarden,04,Noord-Friesland
1199,Miedum,0080,Leeuwarden,04,Noord-Friesland
1200,Snakkerburen,0080,Leeuwarden,04,Noord-Friesland
1202,Hempens,0080,Leeuwarden,04,Noord-Friesland
1203,Teerns,0080,Leeuwarden,04,Noord-Friesland
1204,Swichum,0080,Leeuwarden,04,Noord-Friesland
1206,Wytgaard,0080,Leeuwarden,04,Noord-Friesland
1207,Oirschot,0823,Oirschot,36,Zuidoost-Noord-Brabant
1208,Oost West en Middelbeers,0823,Oirschot,36,Zuidoost-Noord-Brabant
1209,Oostvoorne,1992,Voorne aan Zee,29,Groot-Rijnmond
1210,Rockanje,1992,Voorne aan Zee,29,Groot-Rijnmond
1211,Tinte,1992,Voorne aan Zee,29,Groot-Rijnmond
1212,Moerkapelle,1892,Zuidplas,29,Groot-Rijnmond
1213,Zevenhuizen,1892,Zuidplas,29,Groot-Rijnmond
1214,Beugen,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1215,Boxmeer,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1216,Groeningen,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1217,Holthees,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1218,Maashees,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1219,Oeffelt,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1220,Overloon,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1221,Rijkevoort,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1222,Sambeek,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1223,Vierlingsbeek,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1224,Vortum-Mullem,1982,Land van Cuijk,35,Noordoost-Noord-Brabant
1225,Gulpen,1729,Gulpen-Wittem,39,Zuid-Limburg
1226,Ingber,1729,Gulpen-Wittem,39,Zuid-Limburg
1227,Reijmerstok,1729,Gulpen-Wittem,39,Zuid-Limburg
1228,Heijenrath,1729,Gulpen-Wittem,39,Zuid-Limburg
1229,Slenaken,1729,Gulpen-Wittem,39,Zuid-Limburg
1230,Beutenaken,1729,Gulpen-Wittem,39,Zuid-Limburg
1231,Mechelen,1729,Gulpen-Wittem,39,Zuid-Limburg
1232,Epen,1729,Gulpen-Wittem,39,Zuid-Limburg
1233,Wittem,1729,Gulpen-Wittem,39,Zuid-Limburg
1234,Eys,1729,Gulpen-Wittem,39,Zuid-Limburg
1235,Elkenrade,1729,Gulpen-Wittem,39,Zuid-Limburg
1236,Wijlre,1729,Gulpen-Wittem,39,Zuid-Limburg
1237,Dalfsen,0148,Dalfsen,10,Noord-Overijssel
1238,Lemelerveld,0148,Dalfsen,10,Noord-Overijssel
1239,Nieuwleusen,0148,Dalfsen,10,Noord-Overijssel
1240,Veendam,0047,Veendam,01,Oost-Groningen
1241,Wildervank,0047,Veendam,01,Oost-Groningen
1242,Borgercompagnie,0047,Veendam,01,Oost-Groningen
1243,Heiloo,0399,Heiloo,19,Alkmaar en omgeving
1244,Moordrecht,1892,Zuidplas,29,Groot-Rijnmond
1245,'s-Gravenhage,0518,'s-Gravenhage,26,Agglomeratie 's-Gravenhage
1246,Oudenbosch,1655,Halderberge,33,West-Noord-Brabant
1247,Stampersgat,1655,Halderberge,33,West-Noord-Brabant
1248,Oud Gastel,1655,Halderberge,33,West-Noord-Brabant
1249,Bosschenhoofd,1655,Halderberge,33,West-Noord-Brabant
1250,Hoeven,1655,Halderberge,33,West-Noord-Brabant
1251,Baarland,0654,Borsele,32,Overig Zeeland
1252,Borssele,0654,Borsele,32,Overig Zeeland
1253,Driewegen,0654,Borsele,32,Overig Zeeland
1254,Ellewoutsdijk,0654,Borsele,32,Overig Zeeland
1255,Heinkenszand,0654,Borsele,32,Overig Zeeland
1256,Hoedekenskerke,0654,Borsele,32,Overig Zeeland
1257,Kwadendamme,0654,Borsele,32,Overig Zeeland
1258,Lewedorp,0654,Borsele,32,Overig Zeeland
1259,Nieuwdorp,0654,Borsele,32,Overig Zeeland
1260,Nisse,0654,Borsele,32,Overig Zeeland
1261,Oudelande,0654,Borsele,32,Overig Zeeland
1262,Ovezande,0654,Borsele,32,Overig Zeeland
1263,'s-Gravenpolder,0654,Borsele,32,Overig Zeeland
1264,'s-Heer Abtskerke,0654,Borsele,32,Overig Zeeland
1265,'s-Heerenhoek,0654,Borsele,32,Overig Zeeland
1266,Haren Gn,0014,Groningen,03,Overig Groningen
1267,Glimmen,0014,Groningen,03,Overig Groningen
1268,Noordlaren,0014,Groningen,03,Overig Groningen
1269,Onnen,0014,Groningen,03,Overig Groningen
1270,Almere,0034,Almere,40,Flevoland
1271,Emmeloord,0171,Noordoostpolder,40,Flevoland
1272,Bant,0171,Noordoostpolder,40,Flevoland
1273,Luttelgeest,0171,Noordoostpolder,40,Flevoland
1274,Marknesse,0171,Noordoostpolder,40,Flevoland
1275,Kraggenburg,0171,Noordoostpolder,40,Flevoland
1276,Ens,0171,Noordoostpolder,40,Flevoland
1277,Schokland,0171,Noordoostpolder,40,Flevoland
1278,Nagele,0171,Noordoostpolder,40,Flevoland
1279,Tollebeek,0171,Noordoostpolder,40,Flevoland
1280,Espel,0171,Noordoostpolder,40,Flevoland
1281,Creil,0171,Noordoostpolder,40,Flevoland
1282,Rutten,0171,Noordoostpolder,40,Flevoland
1283,Albergen,0183,Tubbergen,12,Twente
1284,Fleringen,0183,Tubbergen,12,Twente
1285,Geesteren,0183,Tubbergen,12,Twente
1286,Haarle,0183,Tubbergen,12,Twente
1287,Harbrinkhoek,0183,Tubbergen,12,Twente
1288,Hezingen,0183,Tubbergen,12,Twente
1289,Langeveen,0183,Tubbergen,12,Twente
1290,Mander,0183,Tubbergen,12,Twente
1291,Manderveen,0183,Tubbergen,12,Twente
1292,Mariaparochie,0183,Tubbergen,12,Twente
1293,Reutum,0183,Tubbergen,12,Twente
1294,Tubbergen,0183,Tubbergen,12,Twente
1295,Vasse,0183,Tubbergen,12,Twente
1296,Arnhem,0202,Arnhem,15,Arnhem/Nijmegen
1297,Zevenaar,0299,Zevenaar,15,Arnhem/Nijmegen
1298,Babberich,0299,Zevenaar,15,Arnhem/Nijmegen
1299,Angerlo,0299,Zevenaar,15,Arnhem/Nijmegen
1300,Giesbeek,0299,Zevenaar,15,Arnhem/Nijmegen
1301,Lathum,0299,Zevenaar,15,Arnhem/Nijmegen
1302,Wijk bij Duurstede,0352,Wijk bij Duurstede,17,Utrecht
1303,Langbroek,0352,Wijk bij Duurstede,17,Utrecht
1304,Cothen,0352,Wijk bij Duurstede,17,Utrecht
1305,Zandvoort,0473,Zandvoort,21,Agglomeratie Haarlem
1306,Bentveld,0473,Zandvoort,21,Agglomeratie Haarlem
1307,Hilvarenbeek,0798,Hilvarenbeek,34,Midden-Noord-Brabant
1308,Diessen,0798,Hilvarenbeek,34,Midden-Noord-Brabant
1309,Biest-Houtakker,0798,Hilvarenbeek,34,Midden-Noord-Brabant
1310,Haghorst,0798,Hilvarenbeek,34,Midden-Noord-Brabant
1311,Esbeek,0798,Hilvarenbeek,34,Midden-Noord-Brabant
1312,Heerlen,0917,Heerlen,39,Zuid-Limburg
1313,Hoensbroek,0917,Heerlen,39,Zuid-Limburg
1314,Heeze,1658,Heeze-Leende,36,Zuidoost-Noord-Brabant
1315,Leende,1658,Heeze-Leende,36,Zuidoost-Noord-Brabant
1316,Sterksel,1658,Heeze-Leende,36,Zuidoost-Noord-Brabant
1317,Willemstad,1709,Moerdijk,33,West-Noord-Brabant
1318,Heijningen,1709,Moerdijk,33,West-Noord-Brabant
1319,Klundert,1709,Moerdijk,33,West-Noord-Brabant
1320,Oudemolen,1709,Moerdijk,33,West-Noord-Brabant
1321,Fijnaart,1709,Moerdijk,33,West-Noord-Brabant
1322,Moerdijk,1709,Moerdijk,33,West-Noord-Brabant
1323,Zevenbergen,1709,Moerdijk,33,West-Noord-Brabant
1324,Standdaarbuiten,1709,Moerdijk,33,West-Noord-Brabant
1325,Noordhoek,1709,Moerdijk,33,West-Noord-Brabant
1326,Langeweg,1709,Moerdijk,33,West-Noord-Brabant
1327,Zevenbergschen Hoek,1709,Moerdijk,33,West-Noord-Brabant
1328,Landsmeer,0415,Landsmeer,23,Groot-Amsterdam
1329,Den Ilp,0415,Landsmeer,23,Groot-Amsterdam
1330,Purmerland,0415,Landsmeer,23,Groot-Amsterdam
1331,Bussum,1942,Gooise Meren,24,Het Gooi en Vechtstreek
1332,Abcoude,0736,De Ronde Venen,17,Utrecht
1333,Baambrugge,0736,De Ronde Venen,17,Utrecht
1334,Almen,0262,Lochem,14,Achterhoek
1335,Barchem,0262,Lochem,14,Achterhoek
1336,Eefde,0262,Lochem,14,Achterhoek
1337,Epse,0262,Lochem,14,Achterhoek
1338,Gorssel,0262,Lochem,14,Achterhoek
1339,Harfsen,0262,Lochem,14,Achterhoek
1340,Joppe,0262,Lochem,14,Achterhoek
1341,Kring van Dorth,0262,Lochem,14,Achterhoek
1342,Laren,0262,Lochem,14,Achterhoek
1343,Lochem,0262,Lochem,14,Achterhoek
1344,Epe,0232,Epe,13,Veluwe
1345,Vaassen,0232,Epe,13,Veluwe
1346,Emst,0232,Epe,13,Veluwe
1347,Oene,0232,Epe,13,Veluwe
1348,Froombosch,1952,Midden-Groningen,03,Overig Groningen
1349,Harkstede,1952,Midden-Groningen,03,Overig Groningen
1350,Hellum,1952,Midden-Groningen,03,Overig Groningen
1351,Kolham,1952,Midden-Groningen,03,Overig Groningen
1352,Lageland,1952,Midden-Groningen,03,Overig Groningen
1353,Luddeweer,1952,Midden-Groningen,03,Overig Groningen
1354,Overschild,1952,Midden-Groningen,03,Overig Groningen
1355,Scharmer,1952,Midden-Groningen,03,Overig Groningen
1356,Schildwolde,1952,Midden-Groningen,03,Overig Groningen
1357,Siddeburen,1952,Midden-Groningen,03,Overig Groningen
1358,Slochteren,1952,Midden-Groningen,03,Overig Groningen
1359,Steendam,1952,Midden-Groningen,03,Overig Groningen
1360,Tjuchem,1952,Midden-Groningen,03,Overig Groningen
1361,Woudbloem,1952,Midden-Groningen,03,Overig Groningen
1362,Tzum,1949,Waadhoeke,04,Noord-Friesland
1363,Hitzum,1949,Waadhoeke,04,Noord-Friesland
1364,Achlum,1949,Waadhoeke,04,Noord-Friesland
1365,Herbaijum,1949,Waadhoeke,04,Noord-Friesland
1366,Franeker,1949,Waadhoeke,04,Noord-Friesland
1367,Zweins,1949,Waadhoeke,04,Noord-Friesland
1368,Peins,1949,Waadhoeke,04,Noord-Friesland
1369,Schalsum,1949,Waadhoeke,04,Noord-Friesland
1370,Ried,1949,Waadhoeke,04,Noord-Friesland
1371,Boer,1949,Waadhoeke,04,Noord-Friesland
1372,Dongjum,1949,Waadhoeke,04,Noord-Friesland
1373,Sexbierum,1949,Waadhoeke,04,Noord-Friesland
1374,Pietersbierum,1949,Waadhoeke,04,Noord-Friesland
1375,Oosterbierum,1949,Waadhoeke,04,Noord-Friesland
1376,Klooster Lidlum,1949,Waadhoeke,04,Noord-Friesland
1377,Tzummarum,1949,Waadhoeke,04,Noord-Friesland
1378,Firdgum,1949,Waadhoeke,04,Noord-Friesland
1379,Olst,1773,Olst-Wijhe,11,Zuidwest-Overijssel
1380,Wijhe,1773,Olst-Wijhe,11,Zuidwest-Overijssel
1381,Wesepe,1773,Olst-Wijhe,11,Zuidwest-Overijssel
1382,Welsum,1773,Olst-Wijhe,11,Zuidwest-Overijssel
1383,Marle,1773,Olst-Wijhe,11,Zuidwest-Overijssel
1384,Veldhoven,0861,Veldhoven,36,Zuidoost-Noord-Brabant
1385,Abbenbroek,1930,Nissewaard,29,Groot-Rijnmond
1386,Geervliet,1930,Nissewaard,29,Groot-Rijnmond
1387,Heenvliet,1930,Nissewaard,29,Groot-Rijnmond
1388,Oudenhoorn,1992,Voorne aan Zee,29,Groot-Rijnmond
1389,Simonshaven,1930,Nissewaard,29,Groot-Rijnmond
1390,Zuidland,1930,Nissewaard,29,Groot-Rijnmond
1392,Breukelen,1904,Stichtse Vecht,17,Utrecht
1393,Kockengen,1904,Stichtse Vecht,17,Utrecht
1394,Nieuwer Ter Aa,1904,Stichtse Vecht,17,Utrecht
1395,Zutphen,0301,Zutphen,14,Achterhoek
1396,Warnsveld,0301,Zutphen,14,Achterhoek
1397,Oude Pekela,0765,Pekela,01,Oost-Groningen
1398,Nieuwe Pekela,0765,Pekela,01,Oost-Groningen
1399,Rhenen,0340,Rhenen,17,Utrecht
1400,Elst Ut,0340,Rhenen,17,Utrecht
1401,De Heen,0851,Steenbergen,33,West-Noord-Brabant
1402,Dinteloord,0851,Steenbergen,33,West-Noord-Brabant
1403,Kruisland,0851,Steenbergen,33,West-Noord-Brabant
1404,Nieuw-Vossemeer,0851,Steenbergen,33,West-Noord-Brabant
1405,Steenbergen,0851,Steenbergen,33,West-Noord-Brabant
1406,Maastricht,0935,Maastricht,39,Zuid-Limburg
1407,Agelo,1774,Dinkelland,12,Twente
1408,Denekamp,1774,Dinkelland,12,Twente
1409,Deurningen,1774,Dinkelland,12,Twente
1410,Lattrop-Breklenkamp,1774,Dinkelland,12,Twente
1411,Nutter,1774,Dinkelland,12,Twente
1412,Ootmarsum,1774,Dinkelland,12,Twente
1413,Oud Ootmarsum,1774,Dinkelland,12,Twente
1414,Rossum,1774,Dinkelland,12,Twente
1415,Saasveld,1774,Dinkelland,12,Twente
1416,Tilligte,1774,Dinkelland,12,Twente
1417,Weerselo,1774,Dinkelland,12,Twente
1419,Finsterwolde,1895,Oldambt,01,Oost-Groningen
1420,Bad Nieuweschans,1895,Oldambt,01,Oost-Groningen
1421,Nieuw Beerta,1895,Oldambt,01,Oost-Groningen
1422,Drieborg,1895,Oldambt,01,Oost-Groningen
1423,Oudezijl,1895,Oldambt,01,Oost-Groningen
1425,Biezenmortel,0855,Tilburg,34,Midden-Noord-Brabant
1426,Esch,0757,Boxtel,35,Noordoost-Noord-Brabant
1427,Haaren,0824,Oisterwijk,34,Midden-Noord-Brabant
1428,Helvoirt,0865,Vught,35,Noordoost-Noord-Brabant
1429,Vaals,0981,Vaals,39,Zuid-Limburg
1430,Lemiers,0981,Vaals,39,Zuid-Limburg
1431,Vijlen,0981,Vaals,39,Zuid-Limburg
1432,Arkel,1978,Molenlanden,30,Zuidoost-Zuid-Holland
1433,Giessenburg,1978,Molenlanden,30,Zuidoost-Zuid-Holland
1434,Hoogblokland,1978,Molenlanden,30,Zuidoost-Zuid-Holland
1435,Hoornaar,1978,Molenlanden,30,Zuidoost-Zuid-Holland
1436,Noordeloos,1978,Molenlanden,30,Zuidoost-Zuid-Holland
1437,Schelluinen,1978,Molenlanden,30,Zuidoost-Zuid-Holland
1438,Ambt Delden,1735,Hof van Twente,12,Twente
1439,Bentelo,1735,Hof van Twente,12,Twente
1440,Delden,1735,Hof van Twente,12,Twente
1441,Diepenheim,1735,Hof van Twente,12,Twente
1442,Goor,1735,Hof van Twente,12,Twente
1443,Hengevelde,1735,Hof van Twente,12,Twente
1444,Markelo,1735,Hof van Twente,12,Twente
1445,Aarle-Rixtel,1659,Laarbeek,36,Zuidoost-Noord-Brabant
1446,Beek en Donk,1659,Laarbeek,36,Zuidoost-Noord-Brabant
1447,Lieshout,1659,Laarbeek,36,Zuidoost-Noord-Brabant
1448,Mariahout,1659,Laarbeek,36,Zuidoost-Noord-Brabant
