Woonplaatscode,Woonplaats,Gemeentecode,Gemeente,COROP-gebiedcode,COROP-gebied
WP1051,Lelystad,GM0995,Lelystad,CR40,Flevoland
WP1052,Naarden,GM1942,Gooise Meren,CR24,Het Gooi en Vechtstreek
WP1053,Andijk,GM0420,Medemblik,CR18,Kop van Noord-Holland
WP1056,Kootwijkerbroek,GM0203,Barneveld,CR13,Veluwe
WP1057,Garderen,GM0203,Barneveld,CR13,Veluwe
WP1059,Stroe,GM0203,Barneveld,CR13,Veluwe
WP1061,De Glind,GM0203,Barneveld,CR13,Veluwe
WP1062,Kootwijk,GM0203,Barneveld,CR13,Veluwe
WP1063,Achterveld,GM0203,Barneveld,CR13,Veluwe
WP1064,Bladel,GM1728,Bladel,CR36,Zuidoost-Noord-Brabant
WP1065,Hapert,GM1728,Bladel,CR36,Zuidoost-Noord-Brabant
WP1066,Hoogeloon,GM1728,Bladel,CR36,Zuidoost-Noord-Brabant
WP1067,Casteren,GM1728,Bladel,CR36,Zuidoost-Noord-Brabant
WP1068,Netersel,GM1728,Bladel,CR36,Zuidoost-Noord-Brabant
WP1069,Maassluis,GM0556,Maassluis,CR29,Groot-Rijnmond
WP1070,Groningen,GM0014,Groningen,CR03,Overig Groningen
WP1071,Woerden,GM0632,Woerden,CR17,Utrecht
WP1072,Harmelen,GM0632,Woerden,CR17,Utrecht
WP1073,Kamerik,GM0632,Woerden,CR17,Utrecht
WP1074,Zegveld,GM0632,Woerden,CR17,Utrecht
WP1075,Zeewolde,GM0050,Zeewolde,CR40,Flevoland
WP1076,Oost-Souburg,GM0718,Vlissingen,CR32,Overig Zeeland
WP1077,Ritthem,GM0718,Vlissingen,CR32,Overig Zeeland
WP1078,Vlissingen,GM0718,Vlissingen,CR32,Overig Zeeland
WP1079,Aarlanderveen,GM0484,Alphen aan den Rijn,CR28,Oost-Zuid-Holland
WP1080,Alphen aan den Rijn,GM0484,Alphen aan den Rijn,CR28,Oost-Zuid-Holland
WP1081,Zwammerdam,GM0484,Alphen aan den Rijn,CR28,Oost-Zuid-Holland
WP1082,Meppel,GM0119,Meppel,CR09,Zuidwest-Drenthe
WP1083,Nijeveen,GM0119,Meppel,CR09,Zuidwest-Drenthe
WP1084,Rogat,GM0119,Meppel,CR09,Zuidwest-Drenthe
WP1085,De Schiphorst,GM0119,Meppel,CR09,Zuidwest-Drenthe
WP1086,Broekhuizen,GM0119,Meppel,CR09,Zuidwest-Drenthe
WP1087,Wierden,GM0189,Wierden,CR12,Twente
WP1088,Enter,GM0189,Wierden,CR12,Twente
WP1089,Hoge Hexel,GM0189,Wierden,CR12,Twente
WP1090,Notter,GM0189,Wierden,CR12,Twente
WP1091,Zuna,GM0189,Wierden,CR12,Twente
WP1092,Baarn,GM0308,Baarn,CR17,Utrecht
WP1093,Lage Vuursche,GM0308,Baarn,CR17,Utrecht
WP1094,Dodewaard,GM1740,Neder-Betuwe,CR16,Zuidwest-Gelderland
WP1096,Kesteren,GM1740,Neder-Betuwe,CR16,Zuidwest-Gelderland
WP1097,Ochten,GM1740,Neder-Betuwe,CR16,Zuidwest-Gelderland
WP1098,Opheusden,GM1740,Neder-Betuwe,CR16,Zuidwest-Gelderland
WP1099,IJzendoorn,GM1740,Neder-Betuwe,CR16,Zuidwest-Gelderland
WP1100,Valkenswaard,GM0858,Valkenswaard,CR36,Zuidoost-Noord-Brabant
WP1101,Eindhoven,GM0772,Eindhoven,CR36,Zuidoost-Noord-Brabant
WP1102,Bovenkarspel,GM0532,Stede Broec,CR18,Kop van Noord-Holland
WP1103,Grootebroek,GM0532,Stede Broec,CR18,Kop van Noord-Holland
WP1104,Lutjebroek,GM0532,Stede Broec,CR18,Kop van Noord-Holland
WP1105,Capelle aan den IJssel,GM0502,Capelle aan den IJssel,CR29,Groot-Rijnmond
WP1107,Zwaagdijk-Oost,GM0420,Medemblik,CR18,Kop van Noord-Holland
WP1108,Nieuwegein,GM0356,Nieuwegein,CR17,Utrecht
WP1109,Empe,GM0213,Brummen,CR14,Achterhoek
WP1110,Tonden,GM0213,Brummen,CR14,Achterhoek
WP1111,Brummen,GM0213,Brummen,CR14,Achterhoek
WP1112,Leuvenheim,GM0213,Brummen,CR14,Achterhoek
WP1113,Hall,GM0213,Brummen,CR14,Achterhoek
WP1114,Eerbeek,GM0213,Brummen,CR14,Achterhoek
WP1115,Sint Pancras,GM1980,Dijk en Waard,CR19,Alkmaar en omgeving
WP1116,Broek op Langedijk,GM1980,Dijk en Waard,CR19,Alkmaar en omgeving
WP1117,Zuid-Scharwoude,GM1980,Dijk en Waard,CR19,Alkmaar en omgeving
WP1118,Noord-Scharwoude,GM1980,Dijk en Waard,CR19,Alkmaar en omgeving
WP1119,Oudkarspel,GM1980,Dijk en Waard,CR19,Alkmaar en omgeving
WP1120,Koedijk,GM1980,Dijk en Waard,CR19,Alkmaar en omgeving
WP1121,Bergen L,GM0893,Bergen (L.),CR37,Noord-Limburg
WP1122,Afferden L,GM0893,Bergen (L.),CR37,Noord-Limburg
WP1123,Siebengewald,GM0893,Bergen (L.),CR37,Noord-Limburg
WP1124,Well L,GM0893,Bergen (L.),CR37,Noord-Limburg
WP1125,Wellerlooi,GM0893,Bergen (L.),CR37,Noord-Limburg
WP1126,Geldrop,GM1771,Geldrop-Mierlo,CR36,Zuidoost-Noord-Brabant
WP1127,Mierlo,GM1771,Geldrop-Mierlo,CR36,Zuidoost-Noord-Brabant
WP1128,Axel,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1129,Biervliet,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1130,Hoek,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1131,Koewacht,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1132,Overslag,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1133,Philippine,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1134,Sas van Gent,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1135,Sluiskil,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1136,Spui,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1137,Terneuzen,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1138,Westdorpe,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1139,Zaamslag,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1140,Zuiddorpe,GM0715,Terneuzen,CR31,Zeeuwsch-Vlaanderen
WP1141,Pijnacker,GM1926,Pijnacker-Nootdorp,CR26,Agglomeratie 's-Gravenhage
WP1142,Nootdorp,GM1926,Pijnacker-Nootdorp,CR26,Agglomeratie 's-Gravenhage
WP1143,Delfgauw,GM1926,Pijnacker-Nootdorp,CR26,Agglomeratie 's-Gravenhage
WP1144,Krimpen aan den IJssel,GM0542,Krimpen aan den IJssel,CR29,Groot-Rijnmond
WP1145,Enschede,GM0153,Enschede,CR12,Twente
WP1146,Helmond,GM0794,Helmond,CR36,Zuidoost-Noord-Brabant
WP1147,Amen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1148,Anderen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1149,Anloo,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1150,Annen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1151,Annerveenschekanaal,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1152,Balloo,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1153,Balloërveld,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1154,Deurze,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1155,Eext,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1156,Eexterveen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1157,Eexterveenschekanaal,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1158,Eexterzandvoort,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1159,Ekehaar,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1160,Eldersloo,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1161,Eleveld,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1162,Gasselte,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1163,Gasselternijveen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1164,Gasselternijveenschemond,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1165,Gasteren,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1166,Geelbroek,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1167,Gieten,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1168,Gieterveen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1169,Grolloo,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1170,Marwijksoord,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1171,Nieuw Annerveen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1172,Nieuwediep,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1173,Nijlande,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1174,Nooitgedacht,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1175,Oud Annerveen,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1176,Papenvoort,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1177,Rolde,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1178,Schipborg,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1179,Schoonloo,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1180,Spijkerboor,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1181,Vredenheim,GM1680,Aa en Hunze,CR07,Noord-Drenthe
WP1182,Zwolle,GM0193,Zwolle,CR10,Noord-Overijssel
WP1183,Avenhorn,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1184,Berkhout,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1185,De Goorn,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1186,Hensbroek,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1187,Obdam,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1188,Oudendijk,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1189,Scharwoude,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1190,Spierdijk,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1191,Ursem,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1192,Zuidermeer,GM1598,Koggenland,CR18,Kop van Noord-Holland
WP1193,Aalten,GM0197,Aalten,CR14,Achterhoek
WP1194,Bredevoort,GM0197,Aalten,CR14,Achterhoek
WP1195,De Heurne,GM0197,Aalten,CR14,Achterhoek
WP1196,Dinxperlo,GM0197,Aalten,CR14,Achterhoek
WP1198,Lekkum,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1199,Miedum,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1200,Snakkerburen,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1202,Hempens,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1203,Teerns,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1204,Swichum,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1206,Wytgaard,GM0080,Leeuwarden,CR04,Noord-Friesland
WP1207,Oirschot,GM0823,Oirschot,CR36,Zuidoost-Noord-Brabant
WP1208,Oost West en Middelbeers,GM0823,Oirschot,CR36,Zuidoost-Noord-Brabant
WP1209,Oostvoorne,GM1992,Voorne aan Zee,CR29,Groot-Rijnmond
WP1210,Rockanje,GM1992,Voorne aan Zee,CR29,Groot-Rijnmond
WP1211,Tinte,GM1992,Voorne aan Zee,CR29,Groot-Rijnmond
WP1212,Moerkapelle,GM1892,Zuidplas,CR29,Groot-Rijnmond
WP1213,Zevenhuizen,GM1892,Zuidplas,CR29,Groot-Rijnmond
WP1214,Beugen,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1215,Boxmeer,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1216,Groeningen,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1217,Holthees,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1218,Maashees,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1219,Oeffelt,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1220,Overloon,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1221,Rijkevoort,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1222,Sambeek,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1223,Vierlingsbeek,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1224,Vortum-Mullem,GM1982,Land van Cuijk,CR35,Noordoost-Noord-Brabant
WP1225,Gulpen,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1226,Ingber,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1227,Reijmerstok,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1228,Heijenrath,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1229,Slenaken,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1230,Beutenaken,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1231,Mechelen,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1232,Epen,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1233,Wittem,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1234,Eys,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1235,Elkenrade,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1236,Wijlre,GM1729,Gulpen-Wittem,CR39,Zuid-Limburg
WP1237,Dalfsen,GM0148,Dalfsen,CR10,Noord-Overijssel
WP1238,Lemelerveld,GM0148,Dalfsen,CR10,Noord-Overijssel
WP1239,Nieuwleusen,GM0148,Dalfsen,CR10,Noord-Overijssel
WP1240,Veendam,GM0047,Veendam,CR01,Oost-Groningen
WP1241,Wildervank,GM0047,Veendam,CR01,Oost-Groningen
WP1242,Borgercompagnie,GM0047,Veendam,CR01,Oost-Groningen
WP1243,Heiloo,GM0399,Heiloo,CR19,Alkmaar en omgeving
WP1244,Moordrecht,GM1892,Zuidplas,CR29,Groot-Rijnmond
WP1245,'s-Gravenhage,GM0518,'s-Gravenhage,CR26,Agglomeratie 's-Gravenhage
WP1246,Oudenbosch,GM1655,Halderberge,CR33,West-Noord-Brabant
WP1247,Stampersgat,GM1655,Halderberge,CR33,West-Noord-Brabant
WP1248,Oud Gastel,GM1655,Halderberge,CR33,West-Noord-Brabant
WP1249,Bosschenhoofd,GM1655,Halderberge,CR33,West-Noord-Brabant
WP1250,Hoeven,GM1655,Halderberge,CR33,West-Noord-Brabant
WP1251,Baarland,GM0654,Borsele,CR32,Overig Zeeland
WP1252,Borssele,GM0654,Borsele,CR32,Overig Zeeland
WP1253,Driewegen,GM0654,Borsele,CR32,Overig Zeeland
WP1254,Ellewoutsdijk,GM0654,Borsele,CR32,Overig Zeeland
WP1255,Heinkenszand,GM0654,Borsele,CR32,Overig Zeeland
WP1256,Hoedekenskerke,GM0654,Borsele,CR32,Overig Zeeland
WP1257,Kwadendamme,GM0654,Borsele,CR32,Overig Zeeland
WP1258,Lewedorp,GM0654,Borsele,CR32,Overig Zeeland
WP1259,Nieuwdorp,GM0654,Borsele,CR32,Overig Zeeland
WP1260,Nisse,GM0654,Borsele,CR32,Overig Zeeland
WP1261,Oudelande,GM0654,Borsele,CR32,Overig Zeeland
WP1262,Ovezande,GM0654,Borsele,CR32,Overig Zeeland
WP1263,'s-Gravenpolder,GM0654,Borsele,CR32,Overig Zeeland
WP1264,'s-Heer Abtskerke,GM0654,Borsele,CR32,Overig Zeeland
WP1265,'s-Heerenhoek,GM0654,Borsele,CR32,Overig Zeeland
WP1266,Haren Gn,GM0014,Groningen,CR03,Overig Groningen
WP1267,Glimmen,GM0014,Groningen,CR03,Overig Groningen
WP1268,Noordlaren,GM0014,Groningen,CR03,Overig Groningen
WP1269,Onnen,GM0014,Groningen,CR03,Overig Groningen
WP1270,Almere,GM0034,Almere,CR40,Flevoland
WP1271,Emmeloord,GM0171,Noordoostpolder,CR40,Flevoland
WP1272,Bant,GM0171,Noordoostpolder,CR40,Flevoland
WP1273,Luttelgeest,GM0171,Noordoostpolder,CR40,Flevoland
WP1274,Marknesse,GM0171,Noordoostpolder,CR40,Flevoland
WP1275,Kraggenburg,GM0171,Noordoostpolder,CR40,Flevoland
WP1276,Ens,GM0171,Noordoostpolder,CR40,Flevoland
WP1277,Schokland,GM0171,Noordoostpolder,CR40,Flevoland
WP1278,Nagele,GM0171,Noordoostpolder,CR40,Flevoland
WP1279,Tollebeek,GM0171,Noordoostpolder,CR40,Flevoland
WP1280,Espel,GM0171,Noordoostpolder,CR40,Flevoland
WP1281,Creil,GM0171,Noordoostpolder,CR40,Flevoland
WP1282,Rutten,GM0171,Noordoostpolder,CR40,Flevoland
WP1283,Albergen,GM0183,Tubbergen,CR12,Twente
WP1284,Fleringen,GM0183,Tubbergen,CR12,Twente
WP1285,Geesteren,GM0183,Tubbergen,CR12,Twente
WP1286,Haarle,GM0183,Tubbergen,CR12,Twente
WP1287,Harbrinkhoek,GM0183,Tubbergen,CR12,Twente
WP1288,Hezingen,GM0183,Tubbergen,CR12,Twente
WP1289,Langeveen,GM0183,Tubbergen,CR12,Twente
WP1290,Mander,GM0183,Tubbergen,CR12,Twente
WP1291,Manderveen,GM0183,Tubbergen,CR12,Twente
WP1292,Mariaparochie,GM0183,Tubbergen,CR12,Twente
WP1293,Reutum,GM0183,Tubbergen,CR12,Twente
WP1294,Tubbergen,GM0183,Tubbergen,CR12,Twente
WP1295,Vasse,GM0183,Tubbergen,CR12,Twente
WP1296,Arnhem,GM0202,Arnhem,CR15,Arnhem/Nijmegen
WP1297,Zevenaar,GM0299,Zevenaar,CR15,Arnhem/Nijmegen
WP1298,Babberich,GM0299,Zevenaar,CR15,Arnhem/Nijmegen
WP1299,Angerlo,GM0299,Zevenaar,CR15,Arnhem/Nijmegen
WP1300,Giesbeek,GM0299,Zevenaar,CR15,Arnhem/Nijmegen
WP1301,Lathum,GM0299,Zevenaar,CR15,Arnhem/Nijmegen
WP1302,Wijk bij Duurstede,GM0352,Wijk bij Duurstede,CR17,Utrecht
WP1303,Langbroek,GM0352,Wijk bij Duurstede,CR17,Utrecht
WP1304,Cothen,GM0352,Wijk bij Duurstede,CR17,Utrecht
WP1305,Zandvoort,GM0473,Zandvoort,CR21,Agglomeratie Haarlem
WP1306,Bentveld,GM0473,Zandvoort,CR21,Agglomeratie Haarlem
WP1307,Hilvarenbeek,GM0798,Hilvarenbeek,CR34,Midden-Noord-Brabant
WP1308,Diessen,GM0798,Hilvarenbeek,CR34,Midden-Noord-Brabant
WP1309,Biest-Houtakker,GM0798,Hilvarenbeek,CR34,Midden-Noord-Brabant
WP1310,Haghorst,GM0798,Hilvarenbeek,CR34,Midden-Noord-Brabant
WP1311,Esbeek,GM0798,Hilvarenbeek,CR34,Midden-Noord-Brabant
WP1312,Heerlen,GM0917,Heerlen,CR39,Zuid-Limburg
WP1313,Hoensbroek,GM0917,Heerlen,CR39,Zuid-Limburg
WP1314,Heeze,GM1658,Heeze-Leende,CR36,Zuidoost-Noord-Brabant
WP1315,Leende,GM1658,Heeze-Leende,CR36,Zuidoost-Noord-Brabant
WP1316,Sterksel,GM1658,Heeze-Leende,CR36,Zuidoost-Noord-Brabant
WP1317,Willemstad,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1318,Heijningen,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1319,Klundert,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1320,Oudemolen,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1321,Fijnaart,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1322,Moerdijk,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1323,Zevenbergen,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1324,Standdaarbuiten,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1325,Noordhoek,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1326,Langeweg,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1327,Zevenbergschen Hoek,GM1709,Moerdijk,CR33,West-Noord-Brabant
WP1328,Landsmeer,GM0415,Landsmeer,CR23,Groot-Amsterdam
WP1329,Den Ilp,GM0415,Landsmeer,CR23,Groot-Amsterdam
WP1330,Purmerland,GM0415,Landsmeer,CR23,Groot-Amsterdam
WP1331,Bussum,GM1942,Gooise Meren,CR24,Het Gooi en Vechtstreek
WP1332,Abcoude,GM0736,De Ronde Venen,CR17,Utrecht
WP1333,Baambrugge,GM0736,De Ronde Venen,CR17,Utrecht
WP1334,Almen,GM0262,Lochem,CR14,Achterhoek
WP1335,Barchem,GM0262,Lochem,CR14,Achterhoek
WP1336,Eefde,GM0262,Lochem,CR14,Achterhoek
WP1337,Epse,GM0262,Lochem,CR14,Achterhoek
WP1338,Gorssel,GM0262,Lochem,CR14,Achterhoek
WP1339,Harfsen,GM0262,Lochem,CR14,Achterhoek
WP1340,Joppe,GM0262,Lochem,CR14,Achterhoek
WP1341,Kring van Dorth,GM0262,Lochem,CR14,Achterhoek
WP1342,Laren,GM0262,Lochem,CR14,Achterhoek
WP1343,Lochem,GM0262,Lochem,CR14,Achterhoek
WP1344,Epe,GM0232,Epe,CR13,Veluwe
WP1345,Vaassen,GM0232,Epe,CR13,Veluwe
WP1346,Emst,GM0232,Epe,CR13,Veluwe
WP1347,Oene,GM0232,Epe,CR13,Veluwe
WP1348,Froombosch,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1349,Harkstede,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1350,Hellum,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1351,Kolham,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1352,Lageland,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1353,Luddeweer,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1354,Overschild,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1355,Scharmer,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1356,Schildwolde,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1357,Siddeburen,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1358,Slochteren,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1359,Steendam,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1360,Tjuchem,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1361,Woudbloem,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1362,Tzum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1363,Hitzum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1364,Achlum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1365,Herbaijum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1366,Franeker,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1367,Zweins,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1368,Peins,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1369,Schalsum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1370,Ried,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1371,Boer,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1372,Dongjum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1373,Sexbierum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1374,Pietersbierum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1375,Oosterbierum,GM1949,Waadhoeke,CR04,Noord-Friesland
WP1376,Klooster Lidlum,GM1949,Waadhoeke,CR04,Noord-Friesland
